Russia,95
Kara-Köl,95
Philippines,48
Turkey,36
Malawi,30
Iraq,58
Germany,97
Afghanistan,18
Cambodia,81
Jordan,94
France,93
Kosovo,74
Algeria,84
Argentina,99
Belgium,64
Ecuador,88
"Korea,Boryeong,hotelpillows.com,1d303bc7aa8cab62838083126a33ea57,Y,null534646,9189159787,Isabell SCHULTZ,104059,'Mad Money',Books,UPI,18,122, 2002-12-06 20:28,Afghanistan,Jalālābād,peirresilber.com,cddd8052fc87b488d79467cb49f862f8,Y,null",98
Finland,37
Nicaragua,88
China,96
India,69
United States,87
"Korea,Boryeong,hotelpillows.com,1d303bc7aa8cab62838083126a33ea57,Y,null",98
Chile,72
Croatia,5
Bolivia,40
Italy,93
Norway,18
Spain,39
Morocco,88
Ukraine,73
Israel,51
Mexico,64
Azerbaijan,94
Latvia,39
Canada,6
Uzbekistan,93
Mozambique,22
Brazil,93
Slovenia,52
Japan,98
Haiti,71
Poland,55
Portugal,84
Australia,32
Romania,79
Nepal,63
El Salvador,46
South Africa,76
Colombia,5
Hungary,67
United Kingdom,76
Netherlands,99
